model_type,bldgname,y,preprocessing_method,n_features,time_step,rmse,mae,r2,model_file
solos,Stadium,present_elec_kwh,linear interpolation,4,1,49.69105035596978,37.10727018847846,0.6496444886180092,./models/solos/stadium_present_elec_kwh_linear_interpolation_4_1.pkl
solos,Stadium,present_elec_kwh,linear interpolation,4,8,30.82242164433311,19.091961013638812,0.8652613471049767,./models/solos/stadium_present_elec_kwh_linear_interpolation_4_8.pkl
solos,Stadium,present_elec_kwh,linear interpolation,4,12,30.488423405843353,18.98140351097363,0.8682116330763018,./models/solos/stadium_present_elec_kwh_linear_interpolation_4_12.pkl
solos,Stadium,present_elec_kwh,linear interpolation,4,24,30.11284615004956,19.296793170291195,0.8715153807630487,./models/solos/stadium_present_elec_kwh_linear_interpolation_4_24.pkl
solos,Stadium,present_elec_kwh,linear interpolation,5,1,50.26081894846001,37.457094753526526,0.6415639180642553,./models/solos/stadium_present_elec_kwh_linear_interpolation_5_1.pkl
solos,Stadium,present_elec_kwh,linear interpolation,5,8,30.82242164433311,19.091961013638812,0.8652613471049767,./models/solos/stadium_present_elec_kwh_linear_interpolation_5_8.pkl
solos,Stadium,present_elec_kwh,linear interpolation,5,12,30.488423405843353,18.98140351097363,0.8682116330763018,./models/solos/stadium_present_elec_kwh_linear_interpolation_5_12.pkl
solos,Stadium,present_elec_kwh,linear interpolation,5,24,30.11284615004956,19.296793170291195,0.8715153807630487,./models/solos/stadium_present_elec_kwh_linear_interpolation_5_24.pkl
solos,Stadium,present_elec_kwh,linear interpolation,6,1,49.95269683012887,37.18270190066879,0.6459452057777613,./models/solos/stadium_present_elec_kwh_linear_interpolation_6_1.pkl
solos,Stadium,present_elec_kwh,linear interpolation,6,8,30.82242164433311,19.091961013638812,0.8652613471049767,./models/solos/stadium_present_elec_kwh_linear_interpolation_6_8.pkl
solos,Stadium,present_elec_kwh,linear interpolation,6,12,76.43417231032046,66.80573728352392,0.17171027026304797,./models/solos/stadium_present_elec_kwh_linear_interpolation_6_12.pkl
solos,Stadium,present_elec_kwh,linear interpolation,6,24,29.549416057865685,19.098732921927812,0.8762784542947493,./models/solos/stadium_present_elec_kwh_linear_interpolation_6_24.pkl
solos,Stadium,present_elec_kwh,linear interpolation,7,1,48.93216295897076,36.527527325157045,0.6602641113623191,./models/solos/stadium_present_elec_kwh_linear_interpolation_7_1.pkl
solos,Stadium,present_elec_kwh,linear interpolation,7,8,30.82242164433311,19.091961013638812,0.8652613471049767,./models/solos/stadium_present_elec_kwh_linear_interpolation_7_8.pkl
solos,Stadium,present_elec_kwh,linear interpolation,7,12,76.43417231032046,66.80573728352392,0.17171027026304797,./models/solos/stadium_present_elec_kwh_linear_interpolation_7_12.pkl
solos,Stadium,present_elec_kwh,linear interpolation,7,24,29.520688977586627,19.135129103709094,0.8765188943186081,./models/solos/stadium_present_elec_kwh_linear_interpolation_7_24.pkl
solos,Stadium,present_elec_kwh,prophet,1,1,50.60874537842342,37.78272012155251,0.6148396788499647,./models/solos/stadium_present_elec_kwh_prophet_1_1.pkl
solos,Stadium,present_elec_kwh,prophet,1,8,34.08811645009288,21.631530101941127,0.8253201940845399,./models/solos/stadium_present_elec_kwh_prophet_1_8.pkl
solos,Stadium,present_elec_kwh,prophet,1,12,33.38615172739178,21.2691901247873,0.8324929954147517,./models/solos/stadium_present_elec_kwh_prophet_1_12.pkl
solos,Stadium,present_elec_kwh,prophet,1,24,31.502533147988004,19.630652428739747,0.8509294996191953,./models/solos/stadium_present_elec_kwh_prophet_1_24.pkl
solos,Stadium,present_elec_kwh,prophet,2,1,50.30189853943368,37.596614973851715,0.619496065434066,./models/solos/stadium_present_elec_kwh_prophet_2_1.pkl
solos,Stadium,present_elec_kwh,prophet,2,8,32.71432541380027,20.518278277825484,0.8391160835858635,./models/solos/stadium_present_elec_kwh_prophet_2_8.pkl
